"id","order_id","product_id","price","item_quantity"
1,1,11,20,1
2,1,6,20,1
3,1,9,15,1
4,2,1,45,1
5,3,1,45,1
6,4,2,15,1
7,4,3,15,1
8,4,4,25,1
9,4,5,25,1
10,5,7,30,1
11,5,8,20,1
12,6,10,15,1
13,6,11,20,1
14,6,12,25,3
15,7,4,25,2
16,7,5,25,3
17,7,3,15,1
18,8,1,45,1
19,8,10,20,1
20,8,5,25,1
21,9,4,25,3
22,9,5,25,2
23,9,1,45,1
24,9,10,20,1
25,9,2,15,1
26,9,3,15,1
27,9,8,20,1
28,10,10,20,2
29,11,1,45,1
30,12,4,25,2
31,12,5,25,2
32,12,12,25,2
33,13,4,25,2
34,14,6,20,1
35,14,5,25,2
36,14,9,15,2
37,14,10,20,2
38,14,1,45,1
39,15,2,15,1
40,15,3,15,2
41,15,4,25,2
42,15,5,25,5
43,15,6,20,1
44,15,10,20,2
45,16,1,45,3
46,17,4,25,5
47,17,2,15,2
48,18,4,25,3
49,18,6,20,3
50,18,4,25,3
51,19,7,30,1
52,19,10,20,3
53,19,12,25,2
54,20,11,20,3
55,20,4,25,1
56,20,5,25,2
57,20,6,20,1
58,20,7,30,1
59,21,4,25,3
60,22,5,25,1
61,22,4,25,1
62,22,10,20,3
63,22,12,25,1
64,23,4,25,1
65,23,5,25,1
66,23,2,15,2
67,23,3,15,3
68,24,4,25,1
69,24,5,25,1
70,24,7,30,1
71,25,4,25,2
72,25,5,25,1
73,25,10,20,2
74,25,12,25,1
75,26,1,45,1
76,26,2,15,2
77,26,3,15,2
78,26,4,25,5
79,26,5,25,3
80,26,10,20,3
81,26,11,20,1
82,27,4,25,1
83,27,5,25,2
84,27,10,20,2
85,28,4,25,3
86,28,5,25,3
87,29,4,25,1
88,29,5,25,1
89,30,2,15,3
90,30,3,15,1
91,30,4,25,3
92,30,5,25,5
93,30,6,20,1
94,31,4,25,3
95,31,5,25,2
96,31,6,20,1
97,32,4,25,6
98,33,4,25,2
99,33,5,25,1
100,34,2,15,1
101,34,4,25,1
102,34,5,25,2
103,34,6,20,1
104,35,4,25,3
105,35,5,25,4
106,35,6,20,4
107,35,8,20,2
108,36,4,25,3
109,36,3,25,3
110,37,4,25,2
111,37,5,25,1
112,37,1,15,1
113,38,1,45,2
114,39,4,25,1
115,39,5,25,1
116,39,10,20,2
117,40,4,25,1
118,40,5,25,3
119,40,11,20,1
120,41,2,15,3
121,41,3,15,3
122,41,4,25,3
123,41,5,25,3
124,42,1,45,2
125,42,4,25,1
126,42,5,25,1
127,42,3,15,3
128,42,7,30,1
129,42,12,25,2
